City,Population
Greenfield,"16,929"
Artesia,"16,895"
Imperial,"16,811"
Nipomo,"16,714"
Coalinga,"16,452"
Laguna Woods,"16,415"
Truckee,"16,297"
Oroville,"16,220"
Lake Tahoe,"16,057"
Ukiah,"15,977"
Walnut Park,"15,966"
Vincent,"15,922"
La Palma,"15,911"
Newberry-Baker,"15,792"
Carmel,"15,677"
Idyllwild,"15,608"
Pacific Grove,"15,601"
Susanville,"15,543"
Alum Rock,"15,536"
Fillmore,"15,420"
Avocado Heights,"15,411"
Bostonia,"15,379"
Donner,"15,187"
McKinleyville,"15,177"
Baywood-Los Osos,"15,151"
East Rancho Dominguez,"15,135"
Lamont,"15,120"
Rio Linda,"15,106"
Clearlake,"15,089"
Parlier,"14,990"
Ripon,"14,966"
Chuckwalla,"14,948"
East San Gabriel,"14,874"
Coto de Caza,"14,866"
Cherryland,"14,728"
North Fair Oaks,"14,687"
Parkway,"14,670"
South Yuba City,"14,624"
Valle Vista,"14,578"
Alamo,"14,570"
Hawaiian Gardens,"14,557"
Mill Valley,"14,403"
Kerman,"14,394"
Woodcrest,"14,347"
Phelan,"14,304"
Los Osos,"14,276"
Alpine,"14,236"
Rosedale,"14,058"
Red Bluff,"14,057"
Auburn,"13,960"
Livingston,"13,815"
Oak Park,"13,811"
Stanford,"13,809"
Lemon Hill,"13,729"
Salida,"13,722"
Palos Verdes Estates,"13,680"
Carpinteria,"13,671"
Olivehurst,"13,656"
McFarland,"13,605"
King City,"13,580"
Grover Beach,"13,505"
San Marino,"13,423"
Discovery Bay,"13,352"
Solana Beach,"13,337"
Avenal,"13,308"
California City,"13,263"
Tehachapi,"13,236"
Lindsay,"13,192"
Commerce,"13,076"
West Point-Wilseyville,"13,048"
North Auburn,"13,022"
Malibu,"12,958"
Grass Valley,"12,878"
Cloverdale-Geyserville,"12,805"
San Anselmo,"12,676"
Pedley,"12,672"
El Sobrante,"12,669"
Bonita,"12,538"
East Sonora-Phoenix Lake,"12,519"
Lake Arrowhead,"12,424"
Grand Terrace,"12,414"
Garberville,"12,402"
Half Moon Bay,"12,371"
Lake Los Angeles,"12,328"
Larkspur,"12,325"
